id,ano,populacao masculina,populacao feminina,densidade
710,1950,6768290,6275554,10.6846
710,1951,6912154,6412904,10.9149
710,1952,7064011,6558903,11.1589
710,1953,7222518,6710728,11.4131
710,1954,7386504,6869372,11.6774
710,1955,7556275,7037854,11.9544
710,1956,7732762,7216172,12.2451
710,1957,7916357,7403781,12.5491
710,1958,8105212,7595664,12.861
710,1959,8299523,7796932,13.185
710,1960,8502462,8017980,13.5323
710,1961,8725720,8263745,13.9165
710,1962,8971110,8532024,14.3373
710,1963,9228328,8813888,14.7789
710,1964,9496079,9107018,15.2383
710,1965,9774938,9412256,15.7167
710,1966,10062791,9726980,16.2103
710,1967,10359445,10051232,16.7189
710,1968,10665272,10385268,17.2431
710,1969,10978418,10725797,17.7785
710,1970,11297621,11070686,18.3225
710,1971,11639172,11392269,18.8657
710,1972,12008340,11690167,19.4121
710,1973,12391239,11991274,19.9724
710,1974,12779064,12297952,20.5412
710,1975,13167635,12610330,21.1154
710,1976,13548594,12931705,21.6907
710,1977,13954172,13245666,22.2801
710,1978,14394419,13549026,22.8892
710,1979,14834846,13862168,23.5065
710,1980,15277164,14186385,24.1344
710,1981,15631582,14600980,24.7643
710,1982,15892088,15130329,25.4113
710,1983,16125714,15739462,26.1016
710,1984,16336890,16431317,26.8413
710,1985,16509631,17243333,27.6479
710,1986,16884765,17993069,28.5693
710,1987,17515110,18604223,29.5863
710,1988,18162510,19231343,30.6303
710,1989,18810138,19858547,31.6745
710,1990,19422611,20454959,32.6648
710,1991,19938864,20972094,33.5112
710,1992,20288796,21471959,34.2073
710,1993,20519374,22006067,34.8337
710,1994,20745186,22522796,35.4419
710,1995,20960968,23025116,36.0302
710,1996,21154148,23507455,36.5835
710,1997,21405714,23879335,37.0942
710,1998,21703485,24148681,37.5587
710,1999,21977029,24387653,37.9785
710,2000,22221377,24591889,38.346
710,2001,22447806,24781908,38.6871
710,2002,22681781,24979734,39.0408
710,2003,22925383,25178665,39.4033
710,2004,23176582,25379489,39.7736
710,2005,23433293,25583854,40.1512
710,2006,23696246,25795511,40.54
710,2007,23972107,26023987,40.9531
710,2008,24278088,26287724,41.4198
710,2009,24599914,26570865,41.9153
710,2010,24927507,26857414,42.4184
710,2011,25278908,27164417,42.9577
710,2012,25651390,27493643,43.5325
710,2013,26036121,27837495,44.1293
710,2014,26500685,28228865,44.8304
710,2015,27155417,28721087,45.7699
710,2016,27418165,29004108,46.217
710,2017,27465269,29175940,46.3963
710,2018,27822348,29517286,46.9684
710,2019,28207948,29879107,47.5806
710,2020,28580784,30221143,48.1662
710,2021,28894608,30497646,48.6498
710,2022,29168006,30725879,49.0607
710,2023,29451976,30962518,49.4871
710,2024,29772894,31247326,49.9833
710,2025,30113737,31559343,50.518
710,2026,30443430,31861608,51.0357
710,2027,30763346,32155570,51.5385
710,2028,31073364,32441138,52.0264
710,2029,31374419,32719313,52.5009
710,2030,31667857,32991421,52.9641
710,2031,31953892,33257634,53.4165
710,2032,32233726,33519198,53.8599
710,2033,32507714,33776474,54.2951
710,2034,32775315,34028852,54.721
710,2035,33037153,34276980,55.1388
710,2036,33294064,34521870,55.5498
710,2037,33545341,34762904,55.9531
710,2038,33789712,34998783,56.3465
710,2039,34027248,35229575,56.7301
710,2040,34258307,35455630,57.1045
710,2041,34483296,35677356,57.4704
710,2042,34701284,35893848,57.8263
710,2043,34911585,36104583,58.1712
710,2044,35114175,36309496,58.505
710,2045,35308361,36507840,58.8265
710,2046,35493310,36698845,59.1345
710,2047,35669040,36882352,59.4288
710,2048,35835768,37058451,59.7096
710,2049,35993592,37227267,59.9771
710,2050,36141744,37388009,60.2302
710,2051,36279444,37539794,60.4673
710,2052,36406853,37682848,60.6888
710,2053,36525014,37817968,60.8963
710,2054,36634476,37945634,61.0905
710,2055,36734280,38064770,61.2699
710,2056,36825247,38175872,61.4354
710,2057,36908511,38280298,61.5891
710,2058,36984183,38377936,61.7311
710,2059,37052052,38468252,61.8607
710,2060,37111931,38551268,61.9777
710,2061,37165033,38628007,62.0841
710,2062,37212963,38699810,62.1821
710,2063,37255923,38766530,62.272
710,2064,37293564,38827435,62.3527
710,2065,37325753,38882293,62.424
710,2066,37352462,38931270,62.486
710,2067,37375615,38976319,62.5419
710,2068,37395488,39017283,62.5917
710,2069,37410044,39052070,62.6321
710,2070,37420516,39081639,62.6649
710,2071,37428732,39107507,62.6928
710,2072,37433958,39129103,62.7148
710,2073,37434249,39144611,62.7278
710,2074,37430038,39154074,62.7321
710,2075,37421842,39158040,62.7286
710,2076,37410146,39157236,62.7184
710,2077,37395933,39152441,62.7028
710,2078,37378940,39143825,62.6818
710,2079,37357954,39130450,62.6537
710,2080,37333024,39112359,62.6184
710,2081,37305405,39091110,62.5784
710,2082,37274690,39066324,62.5329
710,2083,37241991,39038828,62.4836
710,2084,37207606,39009102,62.4311
710,2085,37170377,38976158,62.3736
710,2086,37130964,38941027,62.3126
710,2087,37090290,38904478,62.2493
710,2088,37047863,38865759,62.1828
710,2089,37002982,38824398,62.1122
710,2090,36956008,38780548,62.0378
710,2091,36906961,38734024,61.9595
710,2092,36855070,38683752,61.8758
710,2093,36800986,38630338,61.7878
710,2094,36745283,38574594,61.6965
