id,alfa2,alfa3,nome
4,af,afg,Afeganistão
710,za,zaf,África do Sul
8,al,alb,Albânia
276,de,deu,Alemanha
20,ad,and,Andorra
24,ao,ago,Angola
28,ag,atg,Antígua e Barbuda
682,sa,sau,Arábia Saudita
12,dz,dza,Argélia
32,ar,arg,Argentina
51,am,arm,Armênia
36,au,aus,Austrália
40,at,aut,Áustria
31,az,aze,Azerbaijão
44,bs,bhs,Bahamas
50,bd,bgd,Bangladexe
52,bb,brb,Barbados
48,bh,bhr,Barém
56,be,bel,Bélgica
84,bz,blz,Belize
204,bj,ben,Benim
112,by,blr,Bielorrússia
68,bo,bol,Bolívia
70,ba,bih,Bósnia e Herzegovina
72,bw,bwa,Botsuana
76,br,bra,Brasil
96,bn,brn,Brunei
100,bg,bgr,Bulgária
854,bf,bfa,Burquina Fasso
108,bi,bdi,Burundi
64,bt,btn,Butão
132,cv,cpv,Cabo Verde
116,kh,khm,Camboja
120,cm,cmr,Camarões
124,ca,can,Canadá
634,qa,qat,Catar
398,kz,kaz,Cazaquistão
140,cf,caf,República Centro-Africana
148,td,tcd,Chade
203,cz,cze,Chéquia
152,cl,chl,Chile
156,cn,chn,China
196,cy,cyp,Chipre
170,co,col,Colômbia
174,km,com,Comores
178,cg,cog,República do Congo
180,cd,cod,República Democrática do Congo
410,kr,kor,Coreia do Sul
408,kp,prk,Coreia do Norte
384,ci,civ,Costa do Marfim
188,cr,cri,Costa Rica
191,hr,hrv,Croácia
192,cu,cub,Cuba
208,dk,dnk,Dinamarca
262,dj,dji,Djibuti
212,dm,dma,Dominica
214,do,dom,República Dominicana
818,eg,egy,Egito
222,sv,slv,El Salvador
784,ae,are,Emirados Árabes Unidos
218,ec,ecu,Equador
232,er,eri,Eritreia
703,sk,svk,Eslováquia
705,si,svn,Eslovênia
724,es,esp,Espanha
840,us,usa,Estados Unidos
233,ee,est,Estónia
748,sz,swz,Essuatíni
231,et,eth,Etiópia
242,fj,fji,Fiji
608,ph,phl,Filipinas
246,fi,fin,Finlândia
250,fr,fra,França
266,ga,gab,Gabão
270,gm,gmb,Gâmbia
288,gh,gha,Gana
268,ge,geo,Geórgia
308,gd,grd,Granada
300,gr,grc,Grécia
320,gt,gtm,Guatemala
328,gy,guy,Guiana
624,gw,gnb,Guiné-Bissau
324,gn,gin,Guiné
226,gq,gnq,Guiné Equatorial
